video_id,label,score,decision
10_1,0,0.5173177719116211,RETRY
10_2,0,0.5568785667419434,RETRY
10_3,1,0.7929949164390564,REJECT
10_4,1,0.5791811943054199,RETRY
10_5,1,0.5615156292915344,RETRY
10_6,1,0.6477455496788025,REJECT
10_7,1,0.5077710747718811,RETRY
10_8,1,0.5311353802680969,RETRY
13_1,0,0.48481860756874084,RETRY
13_2,0,0.3824973404407501,RETRY
13_3,1,0.5497862696647644,RETRY
13_4,1,0.6286110281944275,REJECT
13_5,1,0.60151207447052,REJECT
13_6,1,0.5643059611320496,RETRY
13_7,1,0.5990217328071594,RETRY
13_8,1,0.4974692165851593,RETRY
29_1,0,0.5377098917961121,RETRY
29_2,0,0.4182160496711731,RETRY
29_3,1,0.8057281970977783,REJECT
29_4,1,0.8420555591583252,REJECT
29_5,1,0.8309136033058167,REJECT
29_6,1,0.818759024143219,REJECT
29_7,1,0.8053677082061768,REJECT
29_8,1,0.6427161693572998,REJECT
