video_id,label,score_visual,score_behavior_pose,score_fusion_v6,pred_fusion_v6,decision_v6,decision_reason,case
AXON__axon_02725bc3673bd4,1,0.9994168281555176,0.7594896361685998,0.96342774935748,1,REJECT,high_spoof_score,SPOOF_TO_SPOOF
AXON__axon_064213282232eb,1,0.9998598098754884,0.6605411548632897,0.9489620116236586,1,REJECT,high_spoof_score,SPOOF_TO_SPOOF
AXON__axon_077092df82e439,1,0.9970697164535522,0.5141250142965693,0.9246280111300048,1,REJECT,high_spoof_score,SPOOF_TO_SPOOF
AXON__axon_0870c3ac624182,1,0.9965973496437072,0.5959317998833701,0.9364975171796566,1,REJECT,high_spoof_score,SPOOF_TO_SPOOF
AXON__axon_0a4de7a078bfef,1,0.999881148338318,0.6636542868861736,0.9494471191204964,1,REJECT,high_spoof_score,SPOOF_TO_SPOOF
AXON__axon_0ea3236731d33d,1,0.9997643828392028,0.6011049671892725,0.9399654704917132,1,REJECT,high_spoof_score,SPOOF_TO_SPOOF
AXON__axon_1499e171644171,1,0.9982460737228394,0.7082300417951698,0.9547436689336888,1,REJECT,high_spoof_score,SPOOF_TO_SPOOF
AXON__axon_1e5e3987ccce67,1,0.965825080871582,0.6597900042931429,0.9199198193848162,1,REJECT,high_spoof_score,SPOOF_TO_SPOOF
AXON__axon_1fb5fc671f6c5a,1,0.9974831938743592,0.9146723776797944,0.9850615714451744,1,REJECT,high_spoof_score,SPOOF_TO_SPOOF
AXON__axon_2377edc16cc13e,1,0.9944942593574524,0.5905324972048326,0.9338999950345594,1,REJECT,high_spoof_score,SPOOF_TO_SPOOF
AXON__axon_26d6bb3221bdb1,1,0.9991768002510072,0.1920500198433364,0.8781077831898566,1,REJECT,high_spoof_score,SPOOF_TO_SPOOF
AXON__axon_26d9d63f5ba7a8,1,0.998754620552063,0.7901433797144124,0.9674629344264154,1,REJECT,high_spoof_score,SPOOF_TO_SPOOF
AXON__axon_31702f36e0617f,1,0.999743402004242,0.9774545978921996,0.9964000813874356,1,REJECT,high_spoof_score,SPOOF_TO_SPOOF
AXON__axon_3aacb1cbe6810f,1,0.7522978186607361,0.9733190519378052,0.7854510036522964,1,REJECT,high_spoof_score,SPOOF_TO_SPOOF
AXON__axon_3c164830a739b0,1,0.9998879432678224,0.9493965270102516,0.9923142308291868,1,REJECT,high_spoof_score,SPOOF_TO_SPOOF
AXON__axon_3c308111a0e35b,1,0.9995692372322084,0.5084037898500273,0.9258944201248812,1,REJECT,high_spoof_score,SPOOF_TO_SPOOF
AXON__axon_3c6b99caf06a01,1,0.998507797718048,0.8318192805790348,0.973504520147196,1,REJECT,high_spoof_score,SPOOF_TO_SPOOF
AXON__axon_3e45daf91bd9ac,0,0.5025945901870728,0.3095514735255021,0.4736381226878371,0,RETRY,gray_zone,REAL_TO_REAL
AXON__axon_4282fff5ee43c5,1,0.9998899698257446,0.9448152857040316,0.9916287672074876,1,REJECT,high_spoof_score,SPOOF_TO_SPOOF
AXON__axon_45235ab8a33964,1,0.998407542705536,0.7697969569967714,0.9641159548492212,1,REJECT,high_spoof_score,SPOOF_TO_SPOOF
AXON__axon_4e4b5f425a1567,1,0.9982683658599854,0.7499180175877106,0.961015813619144,1,REJECT,high_spoof_score,SPOOF_TO_SPOOF
AXON__axon_4f6990492a8bf9,1,0.9980337023735046,0.8864907521741973,0.9813022598436084,1,REJECT,high_spoof_score,SPOOF_TO_SPOOF
AXON__axon_502dafedde95da,1,0.9998151659965516,0.8311903165759166,0.9745214385834564,1,REJECT,high_spoof_score,SPOOF_TO_SPOOF
AXON__axon_526e2c080f7124,1,0.9997993111610411,0.5040556442238976,0.9254377611204696,1,REJECT,high_spoof_score,SPOOF_TO_SPOOF
AXON__axon_562f7f3b30c5db,1,0.9992623925209044,0.6922739994342832,0.9532141335579112,1,REJECT,high_spoof_score,SPOOF_TO_SPOOF
AXON__axon_5986e66896e9ec,0,0.938509166240692,0.0206131234176123,0.80082475981723,1,REJECT,high_spoof_score,REAL_TO_SPOOF
AXON__axon_5de913e7a3940e,1,0.9996814727783204,0.9596401585026808,0.9936752756369744,1,REJECT,high_spoof_score,SPOOF_TO_SPOOF
AXON__axon_64df6d0525dd27,1,0.9987063407897948,0.3488994387981347,0.9012353054910456,1,REJECT,high_spoof_score,SPOOF_TO_SPOOF
AXON__axon_676d9d6e8bb803,1,0.999852180480957,0.7531480517369321,0.9628465611693532,1,REJECT,high_spoof_score,SPOOF_TO_SPOOF
AXON__axon_72a90f86ddb0f0,1,0.9997027516365052,0.7543497230717628,0.9628997973517938,1,REJECT,high_spoof_score,SPOOF_TO_SPOOF
AXON__axon_72b6e905ac8664,1,0.9977344274520874,0.6946536365259267,0.9522723088131632,1,REJECT,high_spoof_score,SPOOF_TO_SPOOF
