video_id,label,score,decision
10_1,0,0.8748311400413513,REJECT
10_2,0,0.7757319211959839,REJECT
10_3,1,0.9949472546577454,REJECT
10_4,1,0.9890050292015076,REJECT
10_5,1,0.9789941310882568,REJECT
10_6,1,0.9916930794715881,REJECT
10_7,1,0.995005190372467,REJECT
10_8,1,0.9930849075317383,REJECT
13_1,0,0.022659119218587875,ACCEPT
13_2,0,0.01814858987927437,ACCEPT
13_3,1,0.9853224754333496,REJECT
13_4,1,0.9936187267303467,REJECT
13_5,1,0.9925364255905151,REJECT
13_6,1,0.9934414625167847,REJECT
13_7,1,0.9939006567001343,REJECT
13_8,1,0.9896042346954346,REJECT
29_1,0,0.02922201342880726,ACCEPT
29_2,0,0.019901176914572716,ACCEPT
29_3,1,0.9942423701286316,REJECT
29_4,1,0.9952614903450012,REJECT
29_5,1,0.9961835741996765,REJECT
29_6,1,0.9957889914512634,REJECT
29_7,1,0.9946350455284119,REJECT
29_8,1,0.9929903745651245,REJECT
