video_id,label,score
10_1,0,0.9460775852203369
10_2,0,0.791903018951416
10_3,1,0.8965092897415161
10_4,1,0.9524378776550293
10_5,1,0.7859127521514893
10_6,1,0.972123384475708
10_7,1,0.9067078232765198
10_8,1,0.9391043782234192
13_1,0,0.7694692611694336
13_2,0,0.7624599933624268
13_3,1,0.6007637977600098
13_4,1,0.9696221947669983
13_5,1,0.977037787437439
13_6,1,0.9163862466812134
13_7,1,0.9482259750366211
13_8,1,0.5382553935050964
29_1,0,0.4086379110813141
29_2,0,0.7940781116485596
29_3,1,0.9816545248031616
29_4,1,0.9618337154388428
29_5,1,0.9592958092689514
29_6,1,0.8870457410812378
29_7,1,0.8849409222602844
29_8,1,0.7835831046104431
