video_id,label,score,decision
10_1,0,0.4687340557575226,RETRY
10_2,0,0.32013827562332153,RETRY
10_3,1,0.9640792608261108,REJECT
10_4,1,0.9364930987358093,REJECT
10_5,1,0.7055510878562927,REJECT
10_6,1,0.9724631309509277,REJECT
10_7,1,0.9754907488822937,REJECT
10_8,1,0.9553013443946838,REJECT
13_1,0,0.12035759538412094,ACCEPT
13_2,0,0.12337617576122284,ACCEPT
13_3,1,0.13864503800868988,ACCEPT
13_4,1,0.4930521249771118,RETRY
13_5,1,0.9091632962226868,REJECT
13_6,1,0.6368803977966309,REJECT
13_7,1,0.8936703205108643,REJECT
13_8,1,0.2483864277601242,ACCEPT
29_1,0,0.13621725142002106,ACCEPT
29_2,0,0.15001745522022247,ACCEPT
29_3,1,0.9718173742294312,REJECT
29_4,1,0.9736949801445007,REJECT
29_5,1,0.9472962021827698,REJECT
29_6,1,0.9669985771179199,REJECT
29_7,1,0.9740748405456543,REJECT
29_8,1,0.9742441177368164,REJECT
