video_id,label,original_pred_label,original_score_spoof,normal_score_spoof,normal_pred_label,zero_behavior_score_spoof,zero_behavior_pred_label,zero_rppg_score_spoof,zero_rppg_pred_label,zero_all_score_spoof,zero_all_pred_label,delta_zero_behavior,delta_zero_rppg,delta_zero_all,distance_to_threshold
AXON__axon_b0e4fd72acaa91,0,0,0.4713853597640991,0.4776592552661896,0,0.4809773564338684,0,0.487809807062149,0,0.4888724684715271,0,0.0033181011676788,0.0101505517959594,0.0112132132053375,0.022340744733810425
AXON__axon_3e45daf91bd9ac,0,1,0.5025945901870728,0.5492538809776306,1,0.545089840888977,1,0.5460736751556396,1,0.5434269905090332,1,-0.0041640400886535,-0.0031802058219909,-0.0058268904685974,0.049253880977630615
CASIA__13_8,1,0,0.2972046434879303,0.3055399358272552,0,0.3039848506450653,0,0.3071183264255523,0,0.3051761090755462,0,-0.0015550851821899,0.0015783905982971,-0.0003638267517089,0.1944600641727448
AXON__axon_3aacb1cbe6810f,1,1,0.7522978186607361,0.7806475758552551,1,0.7776433229446411,1,0.7862366437911987,1,0.7830204963684082,1,-0.003004252910614,0.0055890679359436,0.002372920513153,0.2806475758552551
AXON__axon_c1d49b7a3affb6,0,0,0.145400196313858,0.1717336773872375,0,0.169666975736618,0,0.1701294034719467,0,0.1688686907291412,0,-0.0020667016506195,-0.0016042739152908,-0.0028649866580963,0.3282663226127625
AXON__axon_e2a1edb3427e34,1,0,0.1265186965465545,0.1502780020236969,0,0.1491896212100982,0,0.149374857544899,0,0.1477301567792892,0,-0.0010883808135986,-0.0009031444787979,-0.0025478452444076,0.3497219979763031
AXON__axon_819389f7b20f18,1,1,0.8710706233978271,0.8555512428283691,1,0.855168879032135,1,0.8545881509780884,1,0.8538544178009033,1,-0.0003823637962341,-0.0009630918502807,-0.0016968250274658,0.35555124282836914
CASIA__13_7,1,1,0.8848390579223633,0.8655996918678284,1,0.8670700788497925,1,0.8625448346138,1,0.8658374547958374,1,0.0014703869819641,-0.0030548572540283,0.000237762928009,0.36559969186782837
AXON__axon_f02e320dd548a0,1,1,0.8706074953079224,0.8663667440414429,1,0.8630623817443848,1,0.8689881563186646,1,0.8663939237594604,1,-0.0033043622970581,0.0026214122772216,2.7179718017578125e-05,0.36636674404144287
CASIA__10_5,1,1,0.9152394533157348,0.903778314590454,1,0.9030058979988098,1,0.9006836414337158,1,0.9004145860671997,1,-0.0007724165916442,-0.0030946731567382,-0.0033637285232543,0.403778314590454
CASIA__13_3,1,0,0.0702076852321624,0.0958791524171829,0,0.0953448191285133,0,0.0956628546118736,0,0.0951358005404472,0,-0.0005343332886695,-0.0002162978053092,-0.0007433518767356,0.4041208475828171
AXON__axon_ea6067cd0aed2d,1,1,0.9083921313285828,0.9086645841598512,1,0.9080966114997864,1,0.9081600308418274,1,0.9077787399291992,1,-0.0005679726600646,-0.0005045533180236,-0.0008858442306518,0.4086645841598512
AXON__axon_5986e66896e9ec,0,1,0.938509166240692,0.9299640655517578,1,0.928805410861969,1,0.9298030734062196,1,0.9284627437591552,1,-0.0011586546897888,-0.0001609921455383,-0.0015013217926025,0.4299640655517578
AXON__axon_eeddc1765491af,1,1,0.932601511478424,0.93496972322464,1,0.9346907138824464,1,0.9360200762748718,1,0.9352644681930542,1,-0.0002790093421936,0.0010503530502319,0.0002947449684143,0.43496972322464
LOCAL_REAL__p13_samsung_normal_t01.mp4,0,1,0.9492909908294678,0.9505302309989928,1,0.9512901902198792,1,0.950494349002838,1,0.9510182738304138,1,0.0007599592208862,-3.588199615478516e-05,0.0004880428314208,0.4505302309989928
CASIA__13_6,1,1,0.9660715460777284,0.9530670046806335,1,0.954168975353241,1,0.9514241814613342,1,0.9538331627845764,1,0.0011019706726074,-0.0016428232192993,0.0007661581039428,0.45306700468063354
AXON__axon_acc8df9a90c63f,1,1,0.9717977643013,0.9605438113212584,1,0.9598745703697203,1,0.9600656032562256,1,0.959557294845581,1,-0.000669240951538,-0.0004782080650329,-0.0009865164756774,0.46054381132125843
LOCAL_REAL__p14_samsung_normal_t02.mp4,0,1,0.963926076889038,0.9626606702804564,1,0.9627403616905212,1,0.9625281691551208,1,0.9625115990638732,1,7.969141006469727e-05,-0.0001325011253356,-0.0001490712165832,0.46266067028045643
AXON__axon_84d6d920d9eeee,1,1,0.9698778986930848,0.9635190367698668,1,0.9629160761833192,1,0.9631999135017396,1,0.962469518184662,1,-0.0006029605865478,-0.0003191232681274,-0.001049518585205,0.46351903676986683
AXON__axon_1e5e3987ccce67,1,1,0.965825080871582,0.9682450890541076,1,0.967656672000885,1,0.9678483605384828,1,0.9674797058105468,1,-0.0005884170532226,-0.000396728515625,-0.0007653832435607,0.46824508905410755
