video_id,label,score,decision
10_1,0,0.0991126075387001,ACCEPT
10_2,0,0.02475334331393242,ACCEPT
10_3,1,0.9795401096343994,REJECT
10_4,1,0.9512931704521179,REJECT
10_5,1,0.7174956798553467,REJECT
10_6,1,0.9722445011138916,REJECT
10_7,1,0.9782599210739136,REJECT
10_8,1,0.9753534197807312,REJECT
13_1,0,0.027728887274861336,ACCEPT
13_2,0,0.032173119485378265,ACCEPT
13_3,1,0.5908235311508179,RETRY
13_4,1,0.6888525485992432,REJECT
13_5,1,0.9153414368629456,REJECT
13_6,1,0.13954731822013855,RETRY
13_7,1,0.9609520435333252,REJECT
13_8,1,0.6088351607322693,REJECT
29_1,0,0.032548289746046066,ACCEPT
29_2,0,0.035069387406110764,ACCEPT
29_3,1,0.9815300107002258,REJECT
29_4,1,0.98360276222229,REJECT
29_5,1,0.9833674430847168,REJECT
29_6,1,0.9827782511711121,REJECT
29_7,1,0.978789746761322,REJECT
29_8,1,0.9771447777748108,REJECT
