path,label,label_name,subject_id,video_id,frame_idx,source_frame_index,attack_type,level,source_video_path,source_manifest_row,source_frame_count,source_fps,source_duration_sec
data/axon_prepared/video_frames/spoof/axon_e9bb6b278db25f/frame_005.jpg,1,SPOOF,axon_subject_ce871085,axon_e9bb6b278db25f,5,97,pc_video_replay,L2,E:\AxonLabs\L2\iBeta level 1 - paper + replay attacks Axon Labs (40k videos)-20260422T232822Z-3-001\iBeta level 1 - paper + replay attacks Axon Labs (40k videos)\6. PC\video_replay\id_R_02\iPhone_14Pro-Galaxy_A54-MSI_MAG_255PXF_20.mp4,416,201,30.006867243249697,6.698466666666667
data/axon_prepared/video_frames/real/axon_8d018e1242df45/frame_012.jpg,0,REAL,axon_subject_feb21289,axon_8d018e1242df45,12,129,real_video,L2,E:\AxonLabs\L2\iBeta level 1 - paper + replay attacks Axon Labs (40k videos)-20260422T232822Z-3-001\iBeta level 1 - paper + replay attacks Axon Labs (40k videos)\1. Real\Galaxy_A53\id_R_2\6.mp4,380,250,30.047434883870004,8.320177777777777
data/axon_prepared/video_frames/spoof/axon_60c2b96a9cda15/frame_013.jpg,1,SPOOF,axon_subject_2bd21da5,axon_60c2b96a9cda15,13,123,mobile_video_replay,L1,E:\AxonLabs\L1\iBeta level 1 - paper + replay attacks Axon Labs (40k videos)-20260422T235910Z-3-001\iBeta level 1 - paper + replay attacks Axon Labs (40k videos)\7. Mobile\video_replay\id_R_01\iPhone_12-Galaxy_A54-iPhone_14Pro_2.MOV,47,237,30.0,7.9
data/axon_prepared/video_frames/spoof/axon_7357b941a5b6bc/frame_008.jpg,1,SPOOF,axon_subject_c8bb5e03,axon_7357b941a5b6bc,8,83,on_actor,L1,E:\AxonLabs\L1\iBeta level 1 - paper + replay attacks Axon Labs (40k videos)-20260422T235910Z-3-004\iBeta level 1 - paper + replay attacks Axon Labs (40k videos)\4. On actor\iPhone_14Pro\id_5\43.MOV,304,167,30.00898472596586,5.565
data/axon_prepared/video_frames/spoof/axon_df7c308bb0d4b6/frame_002.jpg,1,SPOOF,axon_subject_d305000d,axon_df7c308bb0d4b6,2,88,pc_video_replay,L1,E:\AxonLabs\L1\iBeta level 1 - paper + replay attacks Axon Labs (40k videos)-20260422T235910Z-3-001\iBeta level 1 - paper + replay attacks Axon Labs (40k videos)\6. PC\video_replay\id_R_04\iPhone_14Pro-Galaxy_A54-AOC_25G3ZMBK_11.MOV,35,188,30.0,6.266666666666667
data/axon_prepared/video_frames/spoof/axon_503adf791aa3e5/frame_007.jpg,1,SPOOF,axon_subject_0a429154,axon_503adf791aa3e5,7,107,mobile_image_replay,L2,E:\AxonLabs\L2\iBeta level 1 - paper + replay attacks Axon Labs (40k videos)-20260422T232822Z-3-001\iBeta level 1 - paper + replay attacks Axon Labs (40k videos)\7. Mobile\image_replay\id_R_01\Galaxy_A54-iPhone_12_5.mp4,436,217,30.00686793136985,7.231677777777778
data/axon_prepared/video_frames/spoof/axon_a999d1fd779510/frame_007.jpg,1,SPOOF,axon_subject_b826ff14,axon_a999d1fd779510,7,57,print_cut,L1,E:\AxonLabs\L1\iBeta level 1 - paper + replay attacks Axon Labs (40k videos)-20260422T235910Z-3-001\iBeta level 1 - paper + replay attacks Axon Labs (40k videos)\2. Print + Cut\Galaxy_A53\id_1\22.mp4,2,116,30.077787381158167,3.856666666666667
data/axon_prepared/video_frames/spoof/axon_c3ac901b150362/frame_013.jpg,1,SPOOF,axon_subject_5df69e0a,axon_c3ac901b150362,13,124,mobile_image_replay,L1,E:\AxonLabs\L1\iBeta level 1 - paper + replay attacks Axon Labs (40k videos)-20260422T235910Z-3-002\iBeta level 1 - paper + replay attacks Axon Labs (40k videos)\7. Mobile\image_replay\id_C_04\Samsung_S23-iPhone_14pro_007.mp4,99,239,30.08290630804001,7.944711111111111
data/axon_prepared/video_frames/spoof/axon_0586c637a31e78/frame_009.jpg,1,SPOOF,axon_subject_8ca2eccb,axon_0586c637a31e78,9,91,print_cut,L2,E:\AxonLabs\L2\iBeta level 1 - paper + replay attacks Axon Labs (40k videos)-20260422T232822Z-3-001\iBeta level 1 - paper + replay attacks Axon Labs (40k videos)\2. Print + Cut\Galaxy_A53\id_2\9.mp4,387,180,30.060008684002508,5.988022222222223
data/axon_prepared/video_frames/spoof/axon_7a44e58ab7c69f/frame_000.jpg,1,SPOOF,axon_subject_e93a381d,axon_7a44e58ab7c69f,0,186,silicone_mask,L2,"E:\AxonLabs\L2\iBeta level 2 - Silc, Latex, Textile, Paper and Real (40k videos)-20260422T233047Z-3-006\iBeta level 2 - Silc, Latex, Textile, Paper and Real (40k videos)\1. Silicone Masks\iOS - Masks samples\Mask 4\IMG_4548.MOV",640,389,30.0,12.966666666666669
