video_id,label,score
10_1,0,0.9064639806747437
10_2,0,0.5259625315666199
10_3,1,0.9958655834197998
10_4,1,0.9910780191421509
10_5,1,0.9584102034568787
10_6,1,0.9917712807655334
10_7,1,0.9956554174423218
10_8,1,0.9936195015907288
13_1,0,0.034417059272527695
13_2,0,0.02985472045838833
13_3,1,0.9870377779006958
13_4,1,0.995114803314209
13_5,1,0.9927281141281128
13_6,1,0.9934695959091187
13_7,1,0.9943568110466003
13_8,1,0.9877893924713135
29_1,0,0.028575420379638672
29_2,0,0.023361152037978172
29_3,1,0.9950174689292908
29_4,1,0.9961148500442505
29_5,1,0.9968839287757874
29_6,1,0.9963184595108032
29_7,1,0.9959964752197266
29_8,1,0.9937124848365784
