video_id,label,score
10_1,0,0.14052706956863403
10_2,0,0.04792289435863495
10_3,1,0.9942605495452881
10_4,1,0.9802103638648987
10_5,1,0.024703169241547585
10_6,1,0.9759863018989563
10_7,1,0.9737556576728821
10_8,1,0.973453938961029
13_1,0,0.022666431963443756
13_2,0,0.014576399698853493
13_3,1,0.03375578671693802
13_4,1,0.9638570547103882
13_5,1,0.9855391979217529
13_6,1,0.7893962860107422
13_7,1,0.9676935076713562
13_8,1,0.08485730737447739
29_1,0,0.008935825899243355
29_2,0,0.008937482722103596
29_3,1,0.9928182363510132
29_4,1,0.9925480484962463
29_5,1,0.9944915771484375
29_6,1,0.992027223110199
29_7,1,0.99298095703125
29_8,1,0.9795373678207397
