video_id,label,score
10_1,0,0.5757359266281128
10_2,0,0.5530065894126892
10_3,1,0.7514998912811279
10_4,1,0.6297264695167542
10_5,1,0.5613272190093994
10_6,1,0.6649495363235474
10_7,1,0.5699830055236816
10_8,1,0.5736427307128906
13_1,0,0.4963095784187317
13_2,0,0.4143417775630951
13_3,1,0.5274692177772522
13_4,1,0.6645339131355286
13_5,1,0.5897367596626282
13_6,1,0.579440176486969
13_7,1,0.548632025718689
13_8,1,0.5334315896034241
29_1,0,0.46003493666648865
29_2,0,0.39105165004730225
29_3,1,0.7428781390190125
29_4,1,0.7908428907394409
29_5,1,0.7933363318443298
29_6,1,0.7572250366210938
29_7,1,0.7523287534713745
29_8,1,0.64708411693573
