video_id,score_spoof,source_dataset,device_id,subject_id,condition,attack_type,decision_group,ear_mean,ear_std,ear_min,ear_max,blink_count,motion_mean,motion_std,motion_max,skipped_rate,behavior_issue
MSU_MFSD__real_client050_android_SD_scene01,0.9423303604125975,unknown,unknown,unknown,unknown,unknown,REAL -> SPOOF,0.5969494672916107,-1.0633071990394958,0.9913610983815908,0.0010193883663592,3.3790094998132374,-0.591244884386262,-0.8537044623996971,-0.5889964030996216,0.0,mouvement moyen faible | variation de mouvement faible | EAR très stable / peu de variation oculaire
MSU_MFSD__real_client050_laptop_SD_scene01,0.938390612602234,unknown,unknown,unknown,unknown,unknown,REAL -> SPOOF,1.4688418708627478,1.0463363692701992,-0.9044869379771644,1.7006175002286672,1.388918015260656,-1.1691947797148974,-1.1019998827468631,-0.9318412109794212,0.0,mouvement moyen faible | variation de mouvement faible
MSU_MFSD__real_client049_laptop_SD_scene01,0.848857045173645,unknown,unknown,unknown,unknown,unknown,REAL -> SPOOF,0.5988042012182523,-0.575363627063755,0.8191117958506996,0.6749945907379518,3.3790094998132374,-1.520391582772819,-1.490520541360744,-1.6074145156860735,0.0,mouvement moyen faible | variation de mouvement faible | EAR très stable / peu de variation oculaire
MSU_MFSD__real_client054_android_SD_scene01,0.7236669063568115,unknown,unknown,unknown,unknown,unknown,REAL -> SPOOF,0.6494944179766882,-0.605392291750606,0.5588330272996352,0.2618510168146917,-0.6011734692919256,-0.973005494801726,-1.0871074836050156,-1.1049110963292064,0.0,aucun clignement détecté | mouvement moyen faible | variation de mouvement faible | EAR très stable / peu de variation oculaire
MSU_MFSD__real_client055_android_SD_scene01,0.7164058685302734,unknown,unknown,unknown,unknown,unknown,REAL -> SPOOF,1.0063257592196784,-0.9503481771050843,1.1925600192284838,0.6195857206723885,5.369100984365819,-1.0933010960424132,-1.287208423711394,-1.238834644245379,0.0,mouvement moyen faible | variation de mouvement faible | EAR très stable / peu de variation oculaire
LOCAL_REAL__p14_samsung_normal_t02.mp4,0.6631348133087158,unknown,unknown,unknown,unknown,unknown,REAL -> SPOOF,0.964117867012968,-1.094440756432702,1.227959822407241,0.478853271279455,-0.6011734692919256,-0.4725509370247542,-0.1778908942352699,-0.266774088012643,0.0,aucun clignement détecté | mouvement moyen faible | variation de mouvement faible | EAR très stable / peu de variation oculaire
LOCAL_REAL__p14_samsung_normal_t01.mp4,0.6525828242301941,unknown,unknown,unknown,unknown,unknown,REAL -> SPOOF,0.842847407120477,-0.5559074779578838,0.8817355743924742,0.7235199945655587,1.388918015260656,-0.0832844307638649,0.6629408268295589,0.8676335840180138,0.0,mouvement moyen faible | EAR très stable / peu de variation oculaire
LOCAL_REAL__p15_pc_normal_t07.mp4,0.6259684562683105,unknown,unknown,unknown,unknown,unknown,REAL -> SPOOF,1.7230933678618603,-0.8217190199745035,1.4698263722058988,1.6078088204447214,3.3790094998132374,-0.7456436393125926,-1.0513746364085743,-0.7236516529478191,0.0,mouvement moyen faible | variation de mouvement faible | EAR très stable / peu de variation oculaire
LOCAL_REAL__p15_pc_normal_t03.mp4,0.5611135363578796,unknown,unknown,unknown,unknown,unknown,REAL -> SPOOF,2.1373519385355424,-0.2017782928563916,1.4299663273751606,3.017023145229224,1.388918015260656,-0.3905712126365557,-0.7906476249539572,-0.6357739415906647,0.0,mouvement moyen faible | variation de mouvement faible | EAR très stable / peu de variation oculaire
MSU_MFSD__real_client049_android_SD_scene01,0.5177521705627441,unknown,unknown,unknown,unknown,unknown,REAL -> SPOOF,0.9903682765835626,-1.0632628746800366,1.2132128469123484,0.5951506644717552,1.388918015260656,-1.2607789633363873,-1.17972898152567,-1.0593008973366536,0.0,mouvement moyen faible | variation de mouvement faible | EAR très stable / peu de variation oculaire
