,REAL_TO_REAL,REAL_TO_SPOOF,SPOOF_TO_REAL,SPOOF_TO_SPOOF
ear_mean,0.6806679301797617,0.4939858282122859,0.2501691005749389,0.8120413475808267
ear_std,1.3137427785634412,0.912816359344144,0.1315675269305813,0.6492518179706399
ear_min,1.1619964768865119,0.41009939969836295,0.1715815026106334,0.7385845098502561
ear_max,0.5874514592613974,0.8820001247509309,0.24237198030229784,0.7456255061491245
blink_count,0.8527967141900102,0.9033520345232751,0.0,1.063947066808976
motion_mean,1.4090385495172448,1.0589622276726425,0.6763941824751347,0.5632135277666364
motion_std,1.1428701087307231,1.5835487716489212,0.34908124701517435,0.7769967761129879
motion_max,1.1660323134039483,1.4698526990211942,0.4339091250736174,0.6944263248222711
skipped_rate,0.0,0.0,0.0,0.3701976326291965
rppg_dominant_freq,1.082064624971264,0.0,1.5182681613714393,0.8231249086424577
rppg_hr_estimate,1.082064628041473,0.0,1.5182681656793156,0.8231249075946045
rppg_snr,1.0704545096077493,0.21683620388417374,1.9121590480395565,0.6630506228172236
rppg_signal_std,0.49677453966878815,0.14968442117693906,0.3928061577937451,0.4922064052549177
rppg_skipped_rate,0.0,0.0,0.0,0.3701976326291965
rppg_valid,0.8722668767244172,0.0,1.4132338619652605,0.8260357437416758
