video_id,label,score_visual,ear_mean,ear_std,ear_min,ear_max,blink_count,motion_mean,motion_std,motion_max,skipped_rate,yaw_std,pitch_std,roll_std,yaw_range,pitch_range,roll_range,yaw_delta_mean,pitch_delta_mean,roll_delta_mean,pose_autocorr,pose_valid_rate,score_behavior_pose,score_fusion_v6,pred_fusion_v6,decision_v6,decision_reason,brightness_mean,brightness_std,blur_mean,blur_std,frame_valid_rate,n_frames_quality,video_quality_score,quality_level,decision_quality_aware,decision_reason_quality_aware
REALVSFAKE__test_attack_56,1,0.9997230172157288,-0.2867618155745051,0.6448392283019708,-0.5040098480912624,-0.0010366642956141,2.965098913529278,2.865416823949745,2.089609703973852,91.24271212116776,0.6707636939525575,16.87986180400357,138.63377309131434,92.98275697199144,135.61013404186065,343.23265567740714,359.03734041286793,8.094937106048336,15.68331755604928,37.025162746101664,0.8011792775643966,1.0,7.92329983369835e-18,0.8497645646333695,1,REJECT,high_spoof_score,0.41573768868743,0.0314001090358205,0.3283061174969751,0.0382843375009887,1.0,64,0.7264922002435401,GOOD,REJECT,good_quality_high_spoof_score
REALVSFAKE__test_attack_58,1,0.9939263463020324,-0.3220311451714118,0.6909652085029859,-0.6227545535981678,0.1195010391300841,0.9350851453321708,1.4923758624864505,1.545929688429953,49.6350068253634,0.0082358434455293,24.162820061833845,132.0926761755361,78.29308199728793,156.6723137796863,358.20384076851457,358.87645904542205,9.430537474095926,21.494632033545205,24.851868047173337,0.7787944988586826,0.984375,3.8593639002606207e-11,0.8448373943625165,1,REJECT,high_spoof_score,0.5228695221427451,0.0202240633196869,0.2253591014508028,0.0289898732359676,1.0,64,0.71669426715273,GOOD,REJECT,good_quality_high_spoof_score
REALVSFAKE__test_attack_59,1,0.9177306890487672,-0.2907082357334087,0.6329164527979133,-0.6095034736562301,-0.0590250547136919,0.9350851453321708,1.7197823150186908,1.4273587118170163,84.98388070189678,-0.1573961191812276,3.587237221405404,169.83827237608529,73.03819022556361,13.678958490747318,358.05100901716094,180.2868408421164,0.967741313738706,7.007525276698634,8.839149767675814,0.960309362029666,1.0,2.700868643916997e-16,0.7800710856914521,1,REJECT,high_spoof_score,0.3869709691546552,0.0168314636365444,0.2105447901267201,0.0090215176923765,1.0,64,0.6759543446607325,MEDIUM,RETRY,medium_quality_gray_zone
REALVSFAKE__test_attack_60,1,0.9985643029212952,-0.2776163764348314,0.5889048813028758,-0.4474764173743948,-0.0652435812338974,0.9350851453321708,1.1919025938635637,1.554359132972004,18.19221655077255,-0.1573961191812276,10.969144791638358,2.058696030999763,6.198800010566646,42.1102564555089,12.015051303174571,22.419499510875426,1.3197739818850325,0.6881953366614519,0.4954619739881186,0.9601238795286828,0.984375,1.817120342840361e-05,0.8487823831636152,1,REJECT,high_spoof_score,0.452640983498434,0.0082766002382073,0.4297514841725539,0.0084393777068018,1.0,64,0.7802279228240364,GOOD,REJECT,good_quality_high_spoof_score
REALVSFAKE__test_attack_61,1,0.9992430210113524,-0.333815351755573,0.6031026493231285,-0.5483273795392852,-0.1137682892175283,2.457595471480001,2.0904671173246983,1.849724661058588,42.99513014044542,-0.1573961191812276,2.859867468963226,78.59206578343695,36.75846245024518,20.984845175913136,359.4766743944192,177.73771153175062,1.0636798338846971,22.323648935340803,5.837258664163402,0.528897814521217,1.0,2.0124935003816332e-08,0.8493565708783898,1,REJECT,high_spoof_score,0.5475928695335195,0.0023041718831663,0.3387246557690028,0.0211812186554252,1.0,64,0.7491708559232683,GOOD,REJECT,good_quality_high_spoof_score
REALVSFAKE__test_attack_62,1,0.9993146657943726,-0.324071753983046,0.6251107547065805,-0.5414464562903268,-0.0782400451388915,0.4275817032828942,1.2708052048247716,1.4077520113564144,46.46844063670876,3.652139021234184,1.865418162200202,13.413593817359043,2.502405013601925,6.564608803891305,42.72614122091011,12.726968118699707,0.6991824491951268,1.8305804533452112,0.4845294714869924,0.9896336967088278,0.546875,1.8002020390610681e-07,0.8494174929282472,1,REJECT,high_spoof_score,0.4800244821452887,0.0373466984941053,0.2449546653437866,0.0304075513310262,1.0,64,0.722141920954325,GOOD,REJECT,good_quality_high_spoof_score
REALVSFAKE__test_attack_63,1,0.989300012588501,-0.2815791108790397,0.6317152933501329,-0.6371744442562055,-0.0660234515828494,0.4275817032828942,1.2169696520338265,1.3563295305483087,32.611955595256745,-0.1573961191812276,2.91361818110563,169.79091340703712,1.3355987573217707,12.866854364234507,358.5960856924476,6.118639719772663,0.8172125458543638,12.420404507885962,0.2527796003207501,0.9273560264317856,0.984375,4.242406601617194e-07,0.8409050743363249,1,REJECT,high_spoof_score,0.3692940999614906,0.0147518628416921,0.2760253900715758,0.0154353340734625,1.0,64,0.6921137470833939,MEDIUM,RETRY,medium_quality_gray_zone
REALVSFAKE__test_attack_65,1,0.9997023940086364,-0.2882978137203586,0.6524475679175621,-0.6386207567114449,-0.0066189087880646,0.9350851453321708,1.576665841960277,1.6599566878007046,40.28545489393843,0.1738678060722863,29.485058435300555,151.93886417855066,88.58464084036599,132.01200361150907,359.0749914254916,314.8964516686973,24.24630764546569,106.11588146512442,39.815639692134525,0.5008233299496153,0.984375,5.012041617067289e-08,0.8497470424254033,1,REJECT,high_spoof_score,0.3950401126637178,0.0184345427305777,0.2704817276691618,0.0180651219155964,1.0,64,0.6999194683401071,MEDIUM,RETRY,medium_quality_gray_zone
REALVSFAKE__test_attack_66,1,0.9991969466209412,-0.3228535843050833,0.6377500648188638,-0.5504108301010308,-0.0486305385948317,0.9350851453321708,2.0593382559137954,2.1923998098111634,178.53803311549547,4.811562759621483,19.8601852460714,118.88914248567792,57.70612369582559,96.9908927571748,353.7639497559247,183.25038012535123,9.0916543452262,26.19024180646351,39.61550558556152,0.592665515372665,0.515625,1.9331978935327318e-34,0.8493174046277999,1,REJECT,high_spoof_score,0.5390061057023119,0.0250220572924076,0.3465364572276095,0.0476789181906633,1.0,64,0.7519320091548775,GOOD,REJECT,good_quality_high_spoof_score
REALVSFAKE__test_attack_67,1,0.9998303651809692,-0.3190492457479631,0.6322123599674291,-0.567562057579646,-0.0305920874017361,1.950092029430724,2.453616078781654,1.869597550389279,43.2763976271289,0.6707636939525575,18.581061086278144,158.5114217666899,44.477504113217705,80.78985331821421,357.20208315841694,332.4921329931248,2.555574501866711,25.824912477995245,9.576703855742975,0.7693639513929995,0.984375,4.802357384057034e-09,0.8498558111241774,1,REJECT,high_spoof_score,0.490827617836414,0.0427597874708781,0.3530680168994785,0.0295580142836154,1.0,64,0.7634908849287514,GOOD,REJECT,good_quality_high_spoof_score
