video_id,label,score,decision
10_1,0,0.3329486548900604,RETRY
10_2,0,0.11435862630605698,ACCEPT
10_3,1,0.9951272010803223,REJECT
10_4,1,0.9921228289604187,REJECT
10_5,1,0.9311237931251526,REJECT
10_6,1,0.9938042163848877,REJECT
10_7,1,0.9923040270805359,REJECT
10_8,1,0.9888424873352051,REJECT
13_1,0,0.0365169458091259,ACCEPT
13_2,0,0.02208285965025425,ACCEPT
13_3,1,0.17594166100025177,ACCEPT
13_4,1,0.9568685293197632,REJECT
13_5,1,0.9910990595817566,REJECT
13_6,1,0.706329345703125,REJECT
13_7,1,0.9869211912155151,REJECT
13_8,1,0.6543534994125366,REJECT
29_1,0,0.012749970890581608,ACCEPT
29_2,0,0.015336570329964161,ACCEPT
29_3,1,0.9948621392250061,REJECT
29_4,1,0.9928789734840393,REJECT
29_5,1,0.9946923851966858,REJECT
29_6,1,0.9914001226425171,REJECT
29_7,1,0.9929766058921814,REJECT
29_8,1,0.9879006147384644,REJECT
