epoch,train_loss,val_loss,train_ACER_05,val_ACER_05,val_ACER_best_thr,val_best_threshold,val_F1_best_thr,val_AUC
1,0.706762961719347,0.6966264367103576,0.48652268477887584,0.46846846846846846,0.39993564993564995,0.48499999999999993,0.5644171779141104,0.5794723294723295
2,0.6151773540870004,0.7685412287712097,0.4865842490842491,0.5,0.3507078507078507,0.37499999999999994,0.5975609756097561,0.6254826254826255
3,0.5003535242184348,0.8745691418647766,0.4986072423398329,0.5,0.29214929214929214,0.27999999999999997,0.7005649717514124,0.66988416988417
4,0.492876340513644,0.9181962847709656,0.49859154929577465,0.5,0.2787966537966538,0.22999999999999998,0.6971428571428572,0.6824324324324325
5,0.5009667912255162,0.8353136420249939,0.5000457987298486,0.49099099099099097,0.2787966537966538,0.27999999999999997,0.6971428571428572,0.6911196911196911
6,0.4929184447164121,0.8489288240671158,0.5002443121087189,0.49099099099099097,0.2742921492921493,0.24,0.7045454545454546,0.7207207207207207
7,0.4683498221894969,0.8851300299167633,0.49124816715542524,0.45045045045045046,0.2696267696267696,0.16999999999999998,0.7362637362637363,0.7516087516087516
8,0.5600287110909171,0.7947314083576202,0.4849838669645073,0.46846846846846846,0.2562741312741313,0.25499999999999995,0.7333333333333333,0.7442084942084941
9,0.4830374756584997,0.8607081145048141,0.47604328845742894,0.44594594594594594,0.23825611325611326,0.18,0.7608695652173914,0.7705920205920206
10,0.4903090129727903,0.8359926551580429,0.4483093115800891,0.3963963963963964,0.24276061776061778,0.16999999999999998,0.7540983606557377,0.788931788931789
11,0.49715113639831543,0.8251580089330673,0.4233974358974359,0.4009009009009009,0.22023809523809523,0.185,0.7872340425531915,0.806949806949807
12,0.47515633961428766,0.7865408927202224,0.4088218423769645,0.3737129987129987,0.21991634491634493,0.175,0.8282828282828283,0.803088803088803
13,0.44073497989903326,0.928166289627552,0.4266112905706815,0.3918918918918919,0.2064028314028314,0.105,0.845771144278607,0.8162805662805662
14,0.48784880534462305,0.9139150351285934,0.3969823537945832,0.4189189189189189,0.2289253539253539,0.14999999999999997,0.8163265306122449,0.7989060489060489
15,0.46518937401149585,0.8156807512044907,0.4285599749547582,0.3782175032175032,0.2109073359073359,0.16499999999999998,0.84,0.8137065637065636
16,0.4683912033620088,0.820949935913086,0.3994696073568131,0.3735521235521235,0.21541184041184042,0.14999999999999997,0.8341708542713567,0.8153153153153153
17,0.45053014677503833,0.8413837254047394,0.38309497027157324,0.3737129987129987,0.21106821106821105,0.145,0.8205128205128205,0.8220720720720721
18,0.472905035900033,0.8790820479393006,0.36284110197153674,0.3872265122265122,0.23777348777348778,0.13999999999999999,0.8241206030150754,0.8140283140283141
19,0.47450498394344165,0.8708913058042527,0.3815069277453338,0.3827220077220077,0.21525096525096526,0.13,0.8529411764705882,0.8198198198198197
20,0.46057946915211884,0.8036146581172943,0.38284946728943436,0.3827220077220077,0.21106821106821105,0.19,0.8205128205128205,0.8191763191763191
21,0.44738069565399835,0.7799696356058121,0.39428650184145847,0.38256113256113256,0.21525096525096526,0.185,0.8529411764705882,0.8146718146718147
22,0.48405453951462457,0.7427520394325257,0.3835498728260123,0.369047619047619,0.21975546975546975,0.195,0.8472906403940886,0.8137065637065637
23,0.4338273639264314,0.8033844739198684,0.37433919022154316,0.3735521235521235,0.21525096525096526,0.13999999999999999,0.8529411764705882,0.8185328185328185
24,0.4592974548754485,0.7819654107093811,0.39502762430939226,0.39173101673101673,0.23294723294723294,0.185,0.8666666666666667,0.8072715572715573
25,0.45642784043498663,0.7693654775619507,0.3660998774509804,0.3555341055341055,0.2195945945945946,0.13,0.8653846153846154,0.8082368082368082
